city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
Riyadh,Al-Arid ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Qadisiyah ,South,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000
Riyadh,Al-Qadisiyah ,South,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000
Riyadh,Al-Maizala ,West,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
Riyadh,Al Alia ,West,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000
Riyadh,Al Ezdihar ,East,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000
Riyadh,Mahdia ,North,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000
Riyadh,Al-Arid ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al Hazm ,SouthEast,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000
Riyadh,Al Alia ,Southwest,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000
Riyadh,Al-Arid ,North,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000
Riyadh,Al Sahafa  ,East,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000
Riyadh,Binban ,North,840,0,5,5,2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,150000
Riyadh,Al-Arid ,South,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000
Riyadh,Al-Naseem West ,East,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000
Riyadh,Al Ezdihar ,East,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,250000
Riyadh,Al-Narjis ,Northwest,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000
Riyadh,Al-Malaz ,Southwest,750,28,7,5,3,1,1,1,1,0,0,1,1,1,0,0,0,0,1,80000
Riyadh,Al-Arid ,North,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000
Riyadh,Al-Arid ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Yasmeen ,South,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000
Riyadh,Al-Muanisiyah ,South,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000
Riyadh,As-Sulaimanyah ,North,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000
Riyadh,Al-Arid ,East,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
Riyadh,Al-Aqiq ,East,900,20,5,5,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,200000
Riyadh,Al-Muanisiyah ,Northwest,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000
Riyadh,Al-Mursalat ,West,400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000
Riyadh,Al-Aqiq ,West,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000
Riyadh,Al-Muanisiyah ,East,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000
Riyadh,Al-Rahmaniyah ,North,450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000
Riyadh,Ar-Rimal ,West,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000
Riyadh,Al-Qadisiyah ,West,250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000
Riyadh,Al-Narjis ,East,270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000
Riyadh,Ar-Rimal ,Northwest,350,0,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,40000
Riyadh,Tuwaiq ,Southwest,400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000
Riyadh,Al-Malqa ,North,200,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,120000
Riyadh,Al-Yasmeen ,North,300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,110000
Riyadh,Al-Narjis ,West,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000
Riyadh,Al-Arid ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Maizala ,West,300,5,5,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,45000
Riyadh,Al Nuzha  ,North,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000
Riyadh,Al-Maizala ,West,250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,55000
Riyadh,As-Sulaimanyah ,West,375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,110000
Riyadh,Ar-Rimal ,North,300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,45000
Riyadh,Al-Muanisiyah ,South,312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,65000
Riyadh,Ar-Rimal ,South,312,0,5,5,5,0,1,1,1,1,0,1,1,1,0,0,1,0,0,50000
Riyadh,Ar-Rimal ,West,300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
Riyadh,Al-Arid ,North,400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000
Riyadh,Al-Qadisiyah ,West,250,0,5,5,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,55000
Riyadh,Al-Qadisiyah ,West,250,0,5,5,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,55000
Riyadh,Al Rabie,Southwest,327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000
Riyadh,Al-Narjis ,North,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000
Riyadh,Al-Arid ,East,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000
Riyadh,Al-Muanisiyah ,South,325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000
Riyadh,Al-Yasmeen ,North,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000
Riyadh,Dharat Laban ,Northwest,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000
Riyadh,Al-Arid ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Rawda  ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
Riyadh,Al-Narjis ,NorthEast,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000
Riyadh,Al-Aqiq ,North,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000
